target,sensitivity_mean,sensitivity_std,sensitivity_max,n_perturbations,delta_mean,delta_std
Am,0.0,0.0,0.0,10,-0.0,0.0
C2,0.0114,0.0227,0.0455,4,-0.0114,0.0227
C3,0.0087,0.0148,0.0487,15,-0.0087,0.0148
C3(1),0.0,0.0,0.0,3,-0.0,0.0
CT1(Lo1),0.0031,0.0058,0.0148,7,-0.0031,0.0058
CT1(Lo1)(1),0.0074,0.0105,0.0148,2,-0.0074,0.0105
CT1(M10),0.0053,0.0065,0.0183,7,-0.0021,0.0084
L1,0.0,0.0,0.0,14,-0.0,0.0
L1(1),0.0,,0.0,1,0.0,
L2,0.0,0.0,0.0,15,-0.0,0.0
L2(1),0.0,,0.0,1,0.0,
L3,0.0283,0.0555,0.2078,13,-0.0283,0.0555
L4,0.008,0.0152,0.0307,4,-0.0074,0.0156
L5,0.0563,0.0939,0.2076,11,-0.0541,0.0953
L5(1),0.0,,0.0,1,-0.0,
Lawf1,0.0004,0.0007,0.0015,6,0.0004,0.0007
Lawf1(1),0.0,0.0,0.0,3,-0.0,0.0
Lawf2,0.0416,0.0863,0.2073,10,-0.0416,0.0863
Lawf2(1),0.0009,0.0015,0.0026,3,-0.0009,0.0015
Mi1,0.0514,0.1837,0.7626,17,-0.0512,0.1838
Mi1(1),0.0,,0.0,1,0.0,
Mi10,0.0018,0.0038,0.0096,6,0.0015,0.004
Mi10(1),0.0,0.0,0.0001,3,0.0,0.0
Mi11,0.0,,0.0,1,0.0,
Mi11(1),0.0,,0.0,1,0.0,
Mi12,0.0014,0.0018,0.0043,5,0.0005,0.0023
Mi12(1),0.0,0.0,0.0,2,-0.0,0.0
Mi13,0.0025,0.0039,0.0106,7,0.0025,0.0039
Mi13(1),0.0028,0.0052,0.0106,4,0.0028,0.0052
Mi14,0.0024,0.0028,0.0053,4,-0.0003,0.0039
Mi14(1),0.0,0.0,0.0,2,-0.0,0.0
Mi15,0.002,0.0046,0.0133,8,-0.0018,0.0047
Mi15(1),0.0133,,0.0133,1,-0.0133,
Mi2,0.0063,0.0042,0.014,6,0.0046,0.0063
Mi2(1),0.0045,0.0008,0.005,2,-0.0006,0.0063
Mi3,0.0003,0.0002,0.0005,3,0.0002,0.0003
Mi3(1),0.0003,0.0002,0.0005,3,0.0002,0.0003
Mi4,0.0362,0.0764,0.2173,17,-0.0332,0.0778
Mi4(1),0.0254,0.0688,0.1957,8,-0.0237,0.0695
Mi9,0.0171,0.0573,0.2488,19,-0.0171,0.0573
Mi9(1),0.0024,0.0049,0.0111,5,-0.0021,0.005
R1,0.0008,0.0014,0.0025,3,-0.0008,0.0014
R2,0.0003,0.0006,0.001,3,-0.0003,0.0006
R3,0.0,0.0,0.0,2,-0.0,0.0
R4,0.0021,0.0029,0.0042,2,-0.0021,0.0029
R5,0.0069,0.0098,0.0139,2,-0.0069,0.0098
R6,0.0335,,0.0335,1,-0.0335,
R7,0.0042,,0.0042,1,-0.0042,
R8,0.0027,,0.0027,1,-0.0027,
T1,0.0,0.0,0.0,13,-0.0,0.0
T2,0.0261,0.0633,0.1956,24,-0.0233,0.0645
T2(1),0.0201,0.0603,0.1916,10,-0.0197,0.0604
T2a,0.0086,0.0131,0.0425,11,-0.0063,0.0144
T2a(1),0.0027,0.0036,0.0095,6,-0.0008,0.0045
T3,0.08,0.1038,0.2142,6,-0.0734,0.1095
T3(1),0.1084,0.1495,0.2142,2,-0.1084,0.1495
T4a,0.0412,0.0837,0.2224,12,-0.0409,0.0839
T4a(1),0.0007,0.0008,0.0013,2,-0.0006,0.0009
T4b,0.0376,0.0621,0.1752,10,-0.0361,0.0631
T4b(1),0.0094,0.0129,0.0185,2,-0.0091,0.0132
T4c,0.0195,0.0376,0.1355,12,-0.0092,0.0416
T4c(1),0.004,0.0056,0.008,2,0.004,0.0057
T4d,0.0355,0.074,0.215,10,-0.0334,0.075
T4d(1),0.1106,0.1477,0.215,2,-0.1044,0.1564
T5a,0.0019,0.0038,0.0108,8,-0.0017,0.0039
T5a(1),0.0011,0.0017,0.0036,4,-0.0007,0.0019
T5b,0.0014,0.0027,0.007,9,0.0001,0.0031
T5b(1),0.0014,0.0026,0.0053,4,-0.0014,0.0026
T5c,0.0067,0.0121,0.0289,8,-0.0067,0.0121
T5c(1),0.006,0.0116,0.0234,4,-0.006,0.0116
T5d,0.0029,0.0061,0.0167,10,-0.0028,0.0062
T5d(1),0.0034,0.0074,0.0167,5,-0.0033,0.0075
Tm1,0.004,0.0093,0.0355,15,-0.0025,0.0098
Tm1(1),0.0102,0.0169,0.0355,4,-0.0075,0.0187
Tm16,0.0335,0.0752,0.2037,7,-0.0331,0.0754
Tm16(1),0.0044,0.0054,0.0106,5,-0.0038,0.0059
Tm2,0.004,0.0084,0.024,13,-0.004,0.0084
Tm2(1),0.0025,0.0044,0.0076,3,-0.0025,0.0044
Tm20,0.0073,0.0148,0.0401,12,-0.0057,0.0156
Tm20(1),0.0006,0.001,0.0017,3,0.0006,0.001
Tm28,0.0,0.0,0.0,7,-0.0,0.0
Tm28(1),0.0,0.0,0.0,3,0.0,0.0
Tm3,0.0412,0.0792,0.2133,12,-0.0379,0.0809
Tm3(1),0.0082,0.0079,0.0173,3,-0.0048,0.0114
Tm30,0.0,,0.0,1,0.0,
Tm30(1),0.0,,0.0,1,0.0,
Tm4,0.0026,0.0068,0.0256,14,0.002,0.007
Tm4(1),0.0049,0.0103,0.0256,6,0.0036,0.0109
Tm5Y,0.0,0.0001,0.0002,9,-0.0,0.0001
Tm5Y(1),0.0,0.0001,0.0001,5,0.0,0.0001
Tm5a,0.0002,0.0004,0.0007,7,0.0002,0.0004
