perturbation,source,target,filepath,T4a_corr,T4b_corr,T4c_corr,T4d_corr,T5a_corr,T5b_corr,T5c_corr,T5d_corr,T4_mean_corr,T5_mean_corr,T4_min_corr,T5_min_corr,T4_delta,T5_delta,T4_sensitivity,T5_sensitivity,combined_sensitivity,T4a_delta,T4a_sensitivity,T4b_delta,T4b_sensitivity,T4c_delta,T4c_sensitivity,T4d_delta,T4d_sensitivity,T5a_delta,T5a_sensitivity,T5b_delta,T5b_sensitivity,T5c_delta,T5c_sensitivity,T5d_delta,T5d_sensitivity,T4_baseline,T5_baseline
Am_C2,Am,C2,C:\Users\madis\Documents\Perturbations\fly_wire_perturbations\data\flyvis_data\moving_edge\pair-wise-pert-moving-edge-results\Am_C2.csv,0.936999844197174,0.71944937913785,0.5372179551195043,0.8566104885324578,0.8412543461979867,0.9032093427915396,0.949564690862168,0.9010050270661007,0.7625694167467466,0.8987583517294488,0.5372179551195043,0.8412543461979867,-4.1294029862193327e-08,1.0907871272891612e-08,4.1294029862193327e-08,1.0907871272891612e-08,2.610095056754247e-08,-1.326392218281569e-08,1.326392218281569e-08,5.363466992758248e-08,5.363466992758248e-08,-1.5168648226371317e-08,1.5168648226371317e-08,-1.9037821896716878e-07,1.9037821896716878e-07,5.81726971038421e-08,5.81726971038421e-08,-5.057112095752103e-08,5.057112095752103e-08,4.4110063601721095e-08,4.4110063601721095e-08,-8.080154878520318e-09,8.080154878520318e-09,0.7625694580407765,0.8987583408215776
Am_C3,Am,C3,C:\Users\madis\Documents\Perturbations\fly_wire_perturbations\data\flyvis_data\moving_edge\pair-wise-pert-moving-edge-results\Am_C3.csv,0.9369998574610962,0.7194493255031801,0.5372179702881525,0.8566106789106768,0.8412542880252896,0.9032093933626606,0.9495646467521044,0.9010050351462556,0.7625694580407765,0.8987583408215776,0.5372179702881525,0.8412542880252896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7625694580407765,0.8987583408215776
Am_L1,Am,L1,C:\Users\madis\Documents\Perturbations\fly_wire_perturbations\data\flyvis_data\moving_edge\pair-wise-pert-moving-edge-results\Am_L1.csv,0.9369997859731266,0.7194493520250465,0.5372179153240108,0.8566106370759567,0.8412542843828492,0.9032093323351144,0.9495646809547972,0.9010050489171584,0.7625694225995352,0.8987583366474797,0.5372179153240108,0.8412542843828492,-3.5441241275080415e-08,-4.174097845144331e-09,3.5441241275080415e-08,4.174097845144331e-09,1.9807669560112373e-08,-7.148796954403736e-08,7.148796954403736e-08,2.6521866369755287e-08,2.6521866369755287e-08,-5.4964141793512056e-08,5.4964141793512056e-08,-4.1834720021505234e-08,4.1834720021505234e-08,-3.6424403493384716e-09,3.6424403493384716e-09,-6.10275462387122e-08,6.10275462387122e-08,3.420269278908705e-08,3.420269278908705e-08,1.3770902751453207e-08,1.3770902751453207e-08,0.7625694580407765,0.8987583408215776
Am_L2,Am,L2,C:\Users\madis\Documents\Perturbations\fly_wire_perturbations\data\flyvis_data\moving_edge\pair-wise-pert-moving-edge-results\Am_L2.csv,0.9369997771332168,0.7194494000050908,0.5372179562231301,0.8566107237444709,0.8412543292750434,0.9032093483120124,0.9495646360770588,0.9010050146737024,0.7625694642764772,0.8987583320844542,0.5372179562231301,0.8412543292750434,6.235700733547844e-09,-8.737123358137922e-09,6.235700733547844e-09,8.737123358137922e-09,7.486412045842883e-09,-8.032787934819652e-08,8.032787934819652e-08,7.450191075175638e-08,7.450191075175638e-08,-1.4065022480025391e-08,1.4065022480025391e-08,4.4833794121679205e-08,4.4833794121679205e-08,4.124975383490437e-08,4.124975383490437e-08,-4.505064821191951e-08,4.505064821191951e-08,-1.0675045625241353e-08,1.0675045625241353e-08,-2.0472553208250588e-08,2.0472553208250588e-08,0.7625694580407765,0.8987583408215776
Am_L3,Am,L3,C:\Users\madis\Documents\Perturbations\fly_wire_perturbations\data\flyvis_data\moving_edge\pair-wise-pert-moving-edge-results\Am_L3.csv,0.9369998148800046,0.7194492871583131,0.5372179286334389,0.8566106240743233,0.8412543121400601,0.9032093601099273,0.9495647426532264,0.9010049962128476,0.7625694136865199,0.8987583527790154,0.5372179286334389,0.8412543121400601,-4.4354256600875885e-08,1.1957437817677885e-08,4.4354256600875885e-08,1.1957437817677885e-08,2.8155847209276885e-08,-4.258109154164913e-08,4.258109154164913e-08,-3.8344866948314404e-08,3.8344866948314404e-08,-4.165471367834073e-08,4.165471367834073e-08,-5.483635345804316e-08,5.483635345804316e-08,2.4114770513783412e-08,2.4114770513783412e-08,-3.32527333446464e-08,3.32527333446464e-08,9.590112204360679e-08,9.590112204360679e-08,-3.8933408053054563e-08,3.8933408053054563e-08,0.7625694580407765,0.8987583408215776
Am_L4,Am,L4,C:\Users\madis\Documents\Perturbations\fly_wire_perturbations\data\flyvis_data\moving_edge\pair-wise-pert-moving-edge-results\Am_L4.csv,0.9369997698744714,0.7194493083641866,0.5372179094536016,0.8566105057028788,0.8412542831066658,0.9032092846642076,0.9495646976804428,0.9010050755642148,0.7625693733487846,0.8987583352538828,0.5372179094536016,0.8412542831066658,-8.469199186400544e-08,-5.567694749686325e-09,8.469199186400544e-08,5.567694749686325e-09,4.5129843306845885e-08,-8.758662473073997e-08,8.758662473073997e-08,-1.7138993446685902e-08,1.7138993446685902e-08,-6.08345509522934e-08,6.08345509522934e-08,-1.732077979932356e-07,1.732077979932356e-07,-4.91862373053209e-09,4.91862373053209e-09,-1.0869845301630932e-07,1.0869845301630932e-07,5.092833843534095e-08,5.092833843534095e-08,4.0417959201732856e-08,4.0417959201732856e-08,0.7625694580407765,0.8987583408215776
Am_R1,Am,R1,C:\Users\madis\Documents\Perturbations\fly_wire_perturbations\data\flyvis_data\moving_edge\pair-wise-pert-moving-edge-results\Am_R1.csv,0.9369997740373834,0.7194492863258363,0.537217939910688,0.856610686806883,0.8412543389261818,0.903209288843196,0.949564683916296,0.901005088133346,0.7625694217701977,0.898758349954755,0.537217939910688,0.8412543389261818,-3.627057876265383e-08,9.133177436559947e-09,3.627057876265383e-08,9.133177436559947e-09,2.2701878099606887e-08,-8.342371271563565e-08,8.342371271563565e-08,-3.917734381353455e-08,3.917734381353455e-08,-3.037746454381818e-08,3.037746454381818e-08,7.89620624441767e-09,7.89620624441767e-09,5.090089227888228e-08,5.090089227888228e-08,-1.0451946463874151e-07,1.0451946463874151e-07,3.716419161303719e-08,3.716419161303719e-08,5.2987090382039526e-08,5.2987090382039526e-08,0.7625694580407765,0.8987583408215776
Am_R2,Am,R2,C:\Users\madis\Documents\Perturbations\fly_wire_perturbations\data\flyvis_data\moving_edge\pair-wise-pert-moving-edge-results\Am_R2.csv,0.9369998070844724,0.7194493893540094,0.537217963915431,0.8566105362386103,0.8412542845689591,0.9032093557808876,0.9495646064106086,0.90100510975819,0.7625694241481308,0.8987583391296613,0.537217963915431,0.8412542845689591,-3.3892645689981293e-08,-1.6919162737494275e-09,3.3892645689981293e-08,1.6919162737494275e-09,1.779228098186536e-08,-5.037662376139451e-08,5.037662376139451e-08,6.385082929050157e-08,6.385082929050157e-08,-6.372721572667217e-09,6.372721572667217e-09,-1.426720664943204e-07,1.426720664943204e-07,-3.456330444073785e-09,3.456330444073785e-09,-3.7581773026929e-08,3.7581773026929e-08,-4.034149581055857e-08,4.034149581055857e-08,7.461193440860825e-08,7.461193440860825e-08,0.7625694580407765,0.8987583408215776
Am_R4,Am,R4,C:\Users\madis\Documents\Perturbations\fly_wire_perturbations\data\flyvis_data\moving_edge\pair-wise-pert-moving-edge-results\Am_R4.csv,0.9369999151483712,0.7194493476195292,0.5372179378563061,0.8566106637693741,0.8412543545729406,0.9032093911544712,0.9495646657156784,0.9010050855459996,0.7625694660983952,0.8987583742472726,0.5372179378563061,0.8412543545729406,8.057618683388057e-09,3.3425694989652754e-08,8.057618683388057e-09,3.3425694989652754e-08,2.0741656836520406e-08,5.768727506794136e-08,5.768727506794136e-08,2.2116349085443687e-08,2.2116349085443687e-08,-3.2431846430647226e-08,3.2431846430647226e-08,-1.5141302656118683e-08,1.5141302656118683e-08,6.654765105640337e-08,6.654765105640337e-08,-2.2081894091030563e-09,2.2081894091030563e-09,1.8963574044406073e-08,1.8963574044406073e-08,5.0399743933837726e-08,5.0399743933837726e-08,0.7625694580407765,0.8987583408215776
Am_R5,Am,R5,C:\Users\madis\Documents\Perturbations\fly_wire_perturbations\data\flyvis_data\moving_edge\pair-wise-pert-moving-edge-results\Am_R5.csv,0.9369998497401616,0.7194494144715653,0.5372179325097101,0.8566106568902371,0.8412543655268491,0.9032093204274664,0.949564705011201,0.9010050272711092,0.7625694634029185,0.8987583545591564,0.5372179325097101,0.8412543655268491,5.3621420637028905e-09,1.373757885225757e-08,5.3621420637028905e-09,1.373757885225757e-08,9.54986045798023e-09,-7.720934558363979e-09,7.720934558363979e-09,8.896838521454953e-08,8.896838521454953e-08,-3.77784424854255e-08,3.77784424854255e-08,-2.202043969390388e-08,2.202043969390388e-08,7.75015595033679e-08,7.75015595033679e-08,-7.293519421747163e-08,7.293519421747163e-08,5.825909665801987e-08,5.825909665801987e-08,-7.875146423863555e-09,7.875146423863555e-09,0.7625694580407765,0.8987583408215776
